adresse;name;signatur
0x00407130;IgniteFireAtMiniTile_Convenience;void IgniteFireAtMiniTile_Convenience(int playerID, int miniTileX, int miniTileY, int tileHeightMin8, int two)
0x00407160;SetPlaceOnFire;void SetPlaceOnFire(int playerID, int x, int y, int height, int param_5)
0x00407190;processEntityHitBuildingOrUnit;undefined4 processEntityHitBuildingOrUnit(EntityState * this, int entityID)
0x004081e0;updateProjectileHeightAndCollision;void updateProjectileHeightAndCollision(EntityState * this, uint entityID, undefined4 param_2, int param_3, int param_4)
0x00408250;UpgradeFirst25Entities;void UpgradeFirst25Entities(void)
0x004082a0;spawnEntityEffect2;uint spawnEntityEffect2(EntityState * this, undefined4 microX, undefined4 microY, undefined4 height, undefined4 entityType, int gmLookupValue)
0x004083a0;spawnEntityEffect1;uint spawnEntityEffect1(EntityState * this, short x, short y, undefined4 height, undefined4 entityType, int graphicType1, int graphicType2)
0x004084a0;moveProjectileEntity;BOOLEnum moveProjectileEntity(EntityState * this, int entityID)
0x00408770;handleMapVersionUpgrade;void handleMapVersionUpgrade(EntityState * this, PackagedFileMagicNum receivedMapVersion, PackagedFileMagicNum packagerMapVersion)
0x004087c0;updateEntities;void updateEntities(EntityState * this)
0x00408e10;zeroBinkPtrAndLoadBinkSoundSystem;void zeroBinkPtrAndLoadBinkSoundSystem(BinkControlClass * this, HDIGDRIVER drvrPtr)
0x00408e30;stopBinkPlayback;void stopBinkPlayback(BinkControlClass * this, int binkObjIndex)
0x00408e70;setBinkSndStreamAndStartTime;void setBinkSndStreamAndStartTime(BinkControlClass * this, int binkObjIndex, SHC_SoundStream soundStreamIndexUnk)
0x00408eb0;stopAllBinkPlayback;void stopAllBinkPlayback(BinkControlClass * this)
0x00408ed0;playBINK;void playBINK(BinkControlClass * this, int binkObjIndex, char * binkFileName, DWORD param_3, DWORD param_4, int xPos, int yPos, DWORD param_7)
0x00408fc0;copyBinkToVideoBuffer;void copyBinkToVideoBuffer(BinkControlClass * this, dword param_1)
0x00409200;processBinkFrames;void processBinkFrames(BinkControlClass * this)
0x004092b0;stopAllBinkPlaybackThunk;void stopAllBinkPlaybackThunk(BinkControlClass * this)
0x004092c0;computeHealthPercentage;int computeHealthPercentage(DirectionAlgorithmState * this, int param_1, int param_2)
0x004092e0;computeTileXOffset;int computeTileXOffset(ViewportRenderState * this, int param_1, int param_2)
0x00409300;processDamageToBuildingThunk;void processDamageToBuildingThunk(TileMapState * this, undefined4 targetedTile, undefined4 targetedTileX, undefined4 targetedTileY, undefined4 damage, undefined4 param_5, undefined4 playerID, BOOLEnum aiBuildDelayRelated)
0x00409330;getBuildingResourceAmountByUid;undefined4 getBuildingResourceAmountByUid(BuildingsState * this, int buildingID, int param_2, ResourceType param_3)
0x00409370;convertCommandBuildingTypeToBuildingType;undefined convertCommandBuildingTypeToBuildingType(void)
0x00409930;convertBuildingTypeToCommandBuildingType;MappersEnum convertBuildingTypeToCommandBuildingType(BuildingsState * this, BuildingType buildingType)
0x00409db0;getBuildingHeightForBuildingID;undefined getBuildingHeightForBuildingID(void)
0x00409e80;getBuildingHeightForBuildingID2;undefined4 getBuildingHeightForBuildingID2(BuildingsState * this, int buildingID)
0x00409f50;getSpriteID;int getSpriteID(BuildingsState * this, MappersEnum commandBuildingType)
0x00409ff0;getSpriteID2;int getSpriteID2(BuildingsState * this, MappersEnum commandBuildingType)
0x0040a020;clearBuildings;void clearBuildings(BuildingsState * this)
0x0040a060;displayPopularityAndGoldPopups;void displayPopularityAndGoldPopups(BuildingsState * this, int buildingID, int param_2, int param_3, undefined4 param_4)
0x0040a260;spawnCrowForBuilding;int spawnCrowForBuilding(BuildingsState * this, int buildingID)
0x0040a400;isFearFactorBuilding;uint isFearFactorBuilding(BuildingsState * this, int buildingID)
0x0040a4a0;isReligiousBuilding;uint isReligiousBuilding(BuildingsState * this, int buildingID)
0x0040a4e0;copyPlayerDataArrayValues;void copyPlayerDataArrayValues(BuildingsState * this, int playerID, int playerID2)
0x0040a8a0;chooseProductionItemType;int chooseProductionItemType(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040a950;getEmptyBuildingCount;int getEmptyBuildingCount(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040a9b0;countBuildingsForPlayer;int countBuildingsForPlayer(BuildingsState * this, PlayerID playerID, BuildingType buildingType, int includeBool)
0x0040aa10;countFarms;int countFarms(BuildingsState * this, PlayerID playerID, int param_2)
0x0040aa80;findFirstBuildingOfType;int findFirstBuildingOfType(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040aad0;findFirstBuildingIDForPlayerAndType;int findFirstBuildingIDForPlayerAndType(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040ab30;findNextBuildingForPlayerAndType;int findNextBuildingForPlayerAndType(BuildingsState * this, PlayerID playerID, BuildingType buildingType, int buildingID)
0x0040ab90;findNextBuildingIDForOwnerAndType;int findNextBuildingIDForOwnerAndType(BuildingsState * this, int param_1, int param_2, int param_3)
0x0040ac00;findNextBuildingForPlayerAndOneOfThreeTypes;int findNextBuildingForPlayerAndOneOfThreeTypes(BuildingsState * this, int param_1, int param_2, int param_3, int param_4, int param_5)
0x0040ac80;canNavigateToDefensiveBuilding;int canNavigateToDefensiveBuilding(BuildingsState * this, int playerID, int buildingXPosition, int buildingYPosition, int buildingID)
0x0040adb0;findNextReachableDefensiveBuildingForPlayer;int findNextReachableDefensiveBuildingForPlayer(BuildingsState * this, int param_1, int param_2, int param_3, int param_4)
0x0040aef0;pickARandomBuildingOfType;int pickARandomBuildingOfType(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040afb0;pickARandomBuildingIDOfTheseThreeTypes;int pickARandomBuildingIDOfTheseThreeTypes(BuildingsState * this, int playerID, BuildingType buildingType1, BuildingType buildingType2, BuildingType buildingType3)
0x0040b090;pickARandomPositiveFearFactorBuilding;int pickARandomPositiveFearFactorBuilding(BuildingsState * this, int playerID)
0x0040b1a0;findClosestInnBuildingID;int findClosestInnBuildingID(BuildingsState * this, int unitID)
0x0040b260;recomputeAllFearFactors;void recomputeAllFearFactors(BuildingsState * this)
0x0040b4e0;findBuildingOfTypeForPlayer;undefined4 findBuildingOfTypeForPlayer(BuildingsState * this, int playerID, BuildingType buildingType)
0x0040b540;removeSiegeBuildings;void removeSiegeBuildings(BuildingsState * this, int attackWave, int playerID)
0x0040b5d0;setBuildingInitialEntryTileTry;void setBuildingInitialEntryTileTry(BuildingsState * this, int buildingID, undefined4 param_2)
0x0040b660;prepareCampgroundCoords;undefined4 prepareCampgroundCoords(BuildingsState * this, int playerID)
0x0040b720;hasBuildingEntranceFlagForOrientation;undefined4 hasBuildingEntranceFlagForOrientation(BuildingsState * this, int buildingID)
0x0040b7b0;hasBuildingExitFlagForOrientation;undefined4 hasBuildingExitFlagForOrientation(BuildingsState * this, int buildingID)
0x0040b840;isBuildingPathBlockerOrDamageable;uint isBuildingPathBlockerOrDamageable(BuildingsState * this, uint param_1, int param_2)
0x0040b900;getBuildingHasHealthProperty;BOOLEnum getBuildingHasHealthProperty(BuildingsState * this, uint buildingID)
0x0040b980;hasHumanPlayerUnitsOnBuilding;BOOLEnum hasHumanPlayerUnitsOnBuilding(BuildingsState * this, int buildingID)
0x0040ba10;setupBuildingEntrancesOffset;undefined setupBuildingEntrancesOffset(void)
0x0040bc40;setupNextCandidateLocationComputeOffsets2;void setupNextCandidateLocationComputeOffsets2(BuildingsState * this, int size, int nudge, int try, int offset)
0x0040be70;buildingHasSpaceForResource;BOOLEnum buildingHasSpaceForResource(BuildingsState * this, int buildingID, ResourceType resourceType)
0x0040bee0;extendResourceCountdownForPlayerBuildingsOfType;void extendResourceCountdownForPlayerBuildingsOfType(BuildingsState * this, BuildingType buildingType, int someCountdown, int playerID)
0x0040bf40;canBuildingStoreTheAmount;int canBuildingStoreTheAmount(BuildingsState * this, int buildingID, ResourceType resourceType, int storageLimit)
0x0040bfa0;getResourceCountThatCanBeDeposited;undefined getResourceCountThatCanBeDeposited(void)
0x0040bfd0;getBuildingStorageTypeForResourceType;undefined getBuildingStorageTypeForResourceType(void)
0x0040bfe0;getStorageBuildingForResourceTypeAndAmount;int getStorageBuildingForResourceTypeAndAmount(BuildingsState * this, ResourceType resourceType, int amount, int owner)
0x0040c060;getArmoryIDIfSpaceLeft;uint getArmoryIDIfSpaceLeft(BuildingsState * this, uint buildingID, undefined4 resourceID, int playerID, int resourceCount)
0x0040c0d0;computeArmoryRemainingCapacity;int computeArmoryRemainingCapacity(BuildingsState * this, int buildingID)
0x0040c130;computeResourceSumForBuilding;uint computeResourceSumForBuilding(BuildingsState * this, int buildingID)
0x0040c1a0;hasLessWoodThanTheCostOfAWoodcuttersHutAndNoWoodcutters;uint hasLessWoodThanTheCostOfAWoodcuttersHutAndNoWoodcutters(BuildingsState * this, int playerID, int param_2)
0x0040c1f0;getResourceSpace;int getResourceSpace(BuildingsState * this, int param_1, int * resourceType)
0x0040c300;countPlayerResources;void countPlayerResources(BuildingsState * this, int playerID)
0x0040c4b0;recomputePlayerDataStocksBasedOnStorageBuildings;void recomputePlayerDataStocksBasedOnStorageBuildings(BuildingsState * this)
0x0040c5f0;getBuildingCost;void getBuildingCost(BuildingsState * this, MappersEnum commandBuildingType, int * pStone, int * pGold)
0x0040c800;getPriceForDisbandedUnitType;void getPriceForDisbandedUnitType(BuildingsState * this, UnitType unitType, int * outPrice)
0x0040c9b0;resourceGainForKillingPitAndPitchDitch;void resourceGainForKillingPitAndPitchDitch(BuildingsState * this, BuildingType buildingType, int * ptrRequiredStone, int * ptrRequiredGold)
0x0040c9f0;subtractPitchAndMoatFromStartingGoldInSiegeThatMode;void subtractPitchAndMoatFromStartingGoldInSiegeThatMode(BuildingsState * this)
0x0040cac0;hasEnoughGoldForMoat;uint hasEnoughGoldForMoat(BuildingsState * this)
0x0040cb10;getFarmThatHasTile;int getFarmThatHasTile(BuildingsState * this, int tile)
0x0040cb90;isFarmTileReadyForWheatStageChange;undefined4 isFarmTileReadyForWheatStageChange(BuildingsState * this, int param_1)
0x0040cc30;growWheat;void growWheat(BuildingsState * this, int buildingID)
0x0040cf20;updateWheatFieldTileGraphics;void updateWheatFieldTileGraphics(BuildingsState * this, int buildingID)
0x0040d090;harmWheatFarmsOfPlayer;void harmWheatFarmsOfPlayer(BuildingsState * this, int playerID)
0x0040d120;setupBarracksCampgroundPositions;void setupBarracksCampgroundPositions(BuildingsState * this, int buildingID)
0x0040d400;setupMercenaryPostCampgroundPositions;void setupMercenaryPostCampgroundPositions(BuildingsState * this, int playerID)
0x0040d6e0;isSpaceAvailableAtUnitRallyPoint;undefined4 isSpaceAvailableAtUnitRallyPoint(BuildingsState * this, int playerID, int value0to6, int unitID)
0x0040d9c0;getKeepLocationForAIUnit;undefined4 getKeepLocationForAIUnit(BuildingsState * this, int playerID, int param_2, int unitID)
0x0040dc70;createEntityForAssemblyPointsForActiveTabType;void createEntityForAssemblyPointsForActiveTabType(BuildingsState * this)
0x0040e040;setupEngineersGuildParagroundPositions;void setupEngineersGuildParagroundPositions(BuildingsState * this, int playerID)
0x0040e120;findFreeEngineerAssemblyTile;int findFreeEngineerAssemblyTile(BuildingsState * this, int playerIndex, int param_2)
0x0040e330;setupTunnelersGuildCampgroundPositions;void setupTunnelersGuildCampgroundPositions(BuildingsState * this, int param_1)
0x0040e410;findFreeTunnelerAssemblyTile;undefined4 findFreeTunnelerAssemblyTile(BuildingsState * this, int param_1, int param_2)
0x0040e610;findFreeCathedralAssemblyTile;undefined4 findFreeCathedralAssemblyTile(BuildingsState * this, int param_1, int param_2)
0x0040e740;setTileRefsForOilSmelter;void setTileRefsForOilSmelter(BuildingsState * this, int buildingID)
0x0040e900;isEngineerNotAtAssignedWorkTile;undefined4 isEngineerNotAtAssignedWorkTile(BuildingsState * this, int param_1, int param_2, int param_3)
0x0040e990;getActiveEngineerForBuilding;uint getActiveEngineerForBuilding(BuildingsState * this, int buildingID)
0x0040ea00;setNewOnFarmDestination;undefined4 setNewOnFarmDestination(BuildingsState * this, int buildingID)
0x0040ebf0;growHops;void growHops(BuildingsState * this, int buildingID)
0x0040edf0;updateHopsFieldTileGraphics;void updateHopsFieldTileGraphics(BuildingsState * this, int buildingID)
0x0040ef40;harmHopFarmsOfPlayer;void harmHopFarmsOfPlayer(BuildingsState * this, int param_1)
0x0040efd0;updateBuildingAreaTileGraphics;ushort * updateBuildingAreaTileGraphics(BuildingsState * this, int param_1)
0x0040f040;setDairyFarmCheeseCounter;void setDairyFarmCheeseCounter(BuildingsState * this, int param_1)
0x0040f090;harmAppleFarmTreesOfPlayer;void harmAppleFarmTreesOfPlayer(BuildingsState * this, int param_1)
0x0040f1e0;setSignpostDataForBuildings;void setSignpostDataForBuildings(BuildingsState * this)
0x0040f240;destroySignpostData;undefined destroySignpostData(void)
0x0040f360;updateBuildingSignpostCounter;int updateBuildingSignpostCounter(BuildingsState * this, int param_1, int param_2)
0x0040f3d0;setBuildingToAppleFarm;void setBuildingToAppleFarm(BuildingsState * this, int buildingID)
0x0040f3f0;clearBuildingValueWhenStateIsTwo;void clearBuildingValueWhenStateIsTwo(BuildingsState * this)
0x0040f420;getBuildingFlag3;int getBuildingFlag3(BuildingsState * this, int param_1)
0x0040f440;getBuildingFlag1;int getBuildingFlag1(BuildingsState * this, int param_1)
0x0040f460;determinePeasantSitPosition;undefined4 determinePeasantSitPosition(BuildingsState * this, int campfireID, int availablePeasants)
0x0040f4f0;refreshAllBuildingTileDisplays;void refreshAllBuildingTileDisplays(BuildingsState * this)
0x0040f540;hasWorker;undefined hasWorker(void)
0x0040f5c0;assignWorkerToBuilding;void assignWorkerToBuilding(BuildingsState * this, int buildingID, int unitID, int workerIndex)
0x0040f620;updateNeededEmployeeCount;void updateNeededEmployeeCount(BuildingsState * this, int buildingID)
0x0040f700;getBuildingPriority;int getBuildingPriority(BuildingsState * this, int buildingType, int hasBurningBuilding)
0x0040f750;updateAllBuildingsSnoozedState;void updateAllBuildingsSnoozedState(BuildingsState * this, int playerID, int buildingType)
0x0040f8a0;applySnoozedStateBasedOnPlayerData;void applySnoozedStateBasedOnPlayerData(BuildingsState * this)
0x0040f9d0;processBuildingIDsNeedPeasantsQueue;void processBuildingIDsNeedPeasantsQueue(BuildingsState * this, undefined4 playerID)
0x0040fc40;updateLordLadyJesterAndGhostUnits;void updateLordLadyJesterAndGhostUnits(BuildingsState * this, int playerID)
0x00410200;getRequiredEngineerCountForSiegeBuilding;undefined4 getRequiredEngineerCountForSiegeBuilding(BuildingsState * this, int buildingID)
0x00410290;updateVisuallyActiveState;void updateVisuallyActiveState(BuildingsState * this, int buildingID)
0x00410320;updateRepairCostAndReturnIfDamaged;BOOLEnum updateRepairCostAndReturnIfDamaged(BuildingsState * this, int buildingIndex)
0x00410440;canUnitReachBuildingPerimeter;undefined4 canUnitReachBuildingPerimeter(BuildingsState * this, int param_1, int param_2)
0x004105f0;canUnitReachAdjacentTile;undefined4 canUnitReachAdjacentTile(BuildingsState * this, int param_1, int param_2)
0x004106d0;processDamageToUnitsOnBuilding;void processDamageToUnitsOnBuilding(BuildingsState * this, int buildingID, int damageBonus)
0x00410800;spawnRandomFireEffectOnBuilding;void spawnRandomFireEffectOnBuilding(BuildingsState * this, int buildingID, undefined4 playerID)
0x00410920;getBuildingFlammabilityFactor;undefined getBuildingFlammabilityFactor(void)
0x004109f0;extinguishBuildingFire;void extinguishBuildingFire(BuildingsState * this, int buildingID)
0x00410b10;findClosestReachableAlliedBuilding;int findClosestReachableAlliedBuilding(BuildingsState * this, int param_1)
0x00410c40;playerHasBurningBuilding;undefined4 playerHasBurningBuilding(BuildingsState * this, int playerID)
0x00410ca0;UpdateHovel;void UpdateHovel(void)
0x00410d20;UpdateWoodcuttersHut;void UpdateWoodcuttersHut(void)
0x00410ee0;UpdatePitchRig;void UpdatePitchRig(void)
0x004113c0;UpdateMercenaryPost;void UpdateMercenaryPost(void)
0x00411480;UpdateBarracks;void UpdateBarracks(void)
0x00411540;UpdateOutpostBuilding;void UpdateOutpostBuilding(void)
0x00412360;UpdateStockpile;void UpdateStockpile(void)
0x00412730;UpdateArmory;void UpdateArmory(void)
0x00412d50;UpdateFletchersWorkshop;void UpdateFletchersWorkshop(void)
0x004130d0;UpdateBlacksmithsWorkshop;void UpdateBlacksmithsWorkshop(void)
0x004138d0;UpdatePoleturnersWorkshop;void UpdatePoleturnersWorkshop(void)
0x00413dc0;UpdateArmorersWorkshop;void UpdateArmorersWorkshop(void)
0x004140b0;UpdateTannersWorkshop;void UpdateTannersWorkshop(void)
0x00414720;UpdateBakery;void UpdateBakery(void)
0x00414b60;UpdateBrewery;void UpdateBrewery(void)
0x00415110;UpdateGranary;void UpdateGranary(void)
0x004156f0;UpdateInn;void UpdateInn(void)
0x00415a80;UpdateApothecary;void UpdateApothecary(void)
0x00415bf0;UpdateTunnelersGuild;void UpdateTunnelersGuild(void)
0x00415c90;UpdateMarketplace;void UpdateMarketplace(void)
0x00415e80;UpdateOilSmelter;void UpdateOilSmelter(void)
0x00416540;UpdateWheatFarm;void UpdateWheatFarm(void)
0x00416630;UpdateHopsFarm;void UpdateHopsFarm(void)
0x00416720;UpdateAppleFarm;void UpdateAppleFarm(void)
0x004167e0;UpdateDairyFarm;void UpdateDairyFarm(void)
0x00416f80;UpdateMill;void UpdateMill(void)
0x004173d0;validateBuildingTetheredUnits;void validateBuildingTetheredUnits(BuildingsState * this, int buildingID)
0x00417450;removeTetheredUnitFromBuilding;void removeTetheredUnitFromBuilding(BuildingsState * this, int buildingID, int unitID)
0x004174e0;UpdateStables;void UpdateStables(void)
0x00417740;UpdateBuildingShared2;void UpdateBuildingShared2(void)
0x004177e0;UpdateCathedral;void UpdateCathedral(void)
0x004178e0;UpdateKeepManorHouse;void UpdateKeepManorHouse(void)
0x004179b0;UpdateKeepStoneKeep;void UpdateKeepStoneKeep(void)
0x00417aa0;UpdateKeepStronghold;void UpdateKeepStronghold(void)
0x00417b90;UpdateDrawBridge;void UpdateDrawBridge(void)
0x00417fd0;UpdateTunnel;void UpdateTunnel(void)
0x004180e0;UpdateBuildingShared1;void UpdateBuildingShared1(void)
0x00418100;UpdateCampGround;void UpdateCampGround(void)
0x004184a0;UpdateParadeGround2;void UpdateParadeGround2(void)
0x004184d0;UpdateParadeGround3;void UpdateParadeGround3(void)
0x00418500;UpdateParadeGround4;void UpdateParadeGround4(void)
0x00418530;UpdateBadBuildingGallows;void UpdateBadBuildingGallows(void)
0x00418640;UpdateBadBuildingStocks;void UpdateBadBuildingStocks(void)
0x00418740;UpdateGoodBuildingMaypole;void UpdateGoodBuildingMaypole(void)
0x00418880;UpdateGoodBuildingGarden;void UpdateGoodBuildingGarden(void)
0x004188c0;UpdatePlacedSiegeTower;void UpdatePlacedSiegeTower(void)
0x00418900;UpdateWellOrWaterpot;void UpdateWellOrWaterpot(void)
0x004189a0;UpdateKeepDoorLeft;void UpdateKeepDoorLeft(void)
0x00418a60;UpdateKeepDoorRight;void UpdateKeepDoorRight(void)
0x00418b20;UpdateKeepDoor;void UpdateKeepDoor(void)
0x00418c80;UpdateTower1;void UpdateTower1(void)
0x00418ec0;getRequiredEngineersCount;int getRequiredEngineersCount(BuildingsState * this, int buildingID)
0x00418f70;UpdateBadBuildingCessPitOrDancingBearUnk;void UpdateBadBuildingCessPitOrDancingBearUnk(void)
0x00418f90;UpdateBadBuildingBurningStake;void UpdateBadBuildingBurningStake(void)
0x004190d0;UpdateBadBuildingGibbet;void UpdateBadBuildingGibbet(void)
0x00419190;UpdateBadBuildingDungeon;void UpdateBadBuildingDungeon(void)
0x00419290;UpdateBadBuildingStretchingRack;void UpdateBadBuildingStretchingRack(void)
0x00419340;UpdateBadBuildingRackFlogging;void UpdateBadBuildingRackFlogging(void)
0x00419370;UpdateBadBuildingChoppingBlock;void UpdateBadBuildingChoppingBlock(void)
0x00419420;UpdateBadBuildingDunkingStool;void UpdateBadBuildingDunkingStool(void)
0x00419630;UpdateGoodBuildingStatue;void UpdateGoodBuildingStatue(void)
0x00419670;UpdateGoodBuildingShrine;void UpdateGoodBuildingShrine(void)
0x004196d0;UpdateDancingBear;void UpdateDancingBear(void)
0x00419780;initBuildingCosts;void initBuildingCosts(BuildingsState * this)
0x004197c0;updatePathLinkageLayerForAllBuildings;void updatePathLinkageLayerForAllBuildings(BuildingsState * this)
0x00419800;processDamageFromKillingPit;void processDamageFromKillingPit(BuildingsState * this, int unitID)
